problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,3,8,MonolithicController,OK,115,34.34,2092,1329,7879,2233,0
AT,3,8,DirectedController,OK,530,32.78,99,99,142,142,40
AT,3,8,PORController,OK,592,73.38,2562,355,8785,652,0
AT,3,8,PORGeneralizedController,OK,253,35.43,524,399,1619,763,0
AT,3,9,MonolithicController,OK,119,48.83,2632,1725,10225,2821,0
AT,3,9,DirectedController,OK,651,36.76,99,99,142,142,59
AT,3,9,PORController,OK,802,29.38,3183,434,11296,793,0
AT,3,9,PORGeneralizedController,OK,516,15.4,794,399,2442,763,0
AT,3,10,MonolithicController,OK,180,63.88,3256,2193,12997,3499,0
AT,3,10,DirectedController,OK,681,40.76,99,99,142,142,66
AT,3,10,PORController,OK,984,57.16,3894,546,14245,991,0
AT,3,10,PORGeneralizedController,OK,481,54.09,946,534,3009,1036,0
AT,4,5,MonolithicController,OK,263,108.54,9194,3241,36305,6825,0
AT,4,5,DirectedController,OK,1701,72.83,521,521,729,729,146
AT,4,5,PORController,OK,1332,93.68,13645,1637,47513,3410,0
AT,4,5,PORGeneralizedController,OK,353,52.14,1136,1977,3465,4241,0
AT,4,6,MonolithicController,OK,446,129.38,13930,5289,58257,10745,0
AT,4,6,DirectedController,OK,1866,95.04,521,521,729,729,158
AT,4,6,PORController,OK,1759,104.13,20193,2361,74817,4922,0
AT,4,6,PORGeneralizedController,OK,514,41.72,1686,3265,5423,6921,0
AT,4,7,MonolithicController,OK,585,206.4,20202,8201,88657,16081,0
AT,4,7,DirectedController,OK,2426,41.71,521,521,729,729,189
AT,4,7,PORController,OK,2465,93.72,28667,3046,111937,6192,0
AT,4,7,PORGeneralizedController,OK,893,62.61,2296,4385,7678,9157,0
AT,4,8,MonolithicController,OK,956,430.68,28298,12193,129401,23121,0
AT,4,8,DirectedController,OK,2849,68.72,521,521,729,729,221
AT,4,8,PORController,OK,3867,197.13,39391,3952,160913,7961,0
AT,4,8,PORGeneralizedController,OK,846,103.46,2216,4529,8049,9253,0
AT,4,9,MonolithicController,OK,1161,428.27,38530,17505,182577,32177,0
AT,4,9,DirectedController,OK,3033,92.61,521,521,729,729,221
AT,4,9,PORController,OK,5119,214.13,52713,5219,223977,10420,0
AT,4,9,PORGeneralizedController,OK,1407,135.18,3722,5677,13650,11757,0
AT,4,10,MonolithicController,OK,1583,498.0,51234,24401,250465,43585,0
AT,4,10,DirectedController,OK,3546,119.03,521,521,729,729,268
AT,4,10,PORController,OK,10848,360.21,69005,6724,303553,13302,0
AT,4,10,PORGeneralizedController,OK,1775,202.59,5532,9161,20448,18817,0
AT,5,1,MonolithicController,OK,65,0.0,2594,0,7371,0,0
AT,5,1,DirectedController,OK,653,0.0,359,0,582,0,68
AT,5,1,PORController,OK,300,0.0,4193,0,10411,0,0
AT,5,1,PORGeneralizedController,OK,60,0.0,100,0,303,0,0
AT,5,2,MonolithicController,OK,154,0.0,9194,0,30411,0,0
AT,5,2,DirectedController,OK,4829,0.0,1504,0,2332,0,281
AT,5,2,PORController,OK,1014,0.0,16453,0,46831,0,0
AT,5,2,PORGeneralizedController,OK,250,0.0,1022,0,2980,0,0
AT,5,3,MonolithicController,OK,398,0.0,23154,0,85771,0,0
AT,5,3,DirectedController,OK,43510,334.67,4969,0,7662,0,866
AT,5,3,PORController,OK,2504,0.0,41503,0,131591,0,0
AT,5,3,PORGeneralizedController,OK,479,0.0,2916,0,9082,0,0
AT,5,4,MonolithicController,OK,1032,0.0,48434,0,197931,0,0
AT,5,4,DirectedController,OK,445291,751.76,12716,0,20674,0,3842
AT,5,4,PORController,OK,8391,107.79,85133,0,299761,0,0
AT,5,4,PORGeneralizedController,OK,1061,0.0,6345,0,21370,0,0
AT,5,5,MonolithicController,OK,1679,790.06,90074,18313,398691,42371,0
AT,5,5,DirectedController,OK,8108,238.13,3003,3003,4146,4146,519
